#     TIPO            VALOR                  LÍN   COL
--------------------------------------------------
1     KW_MAIN         main                     1     2
94    INT_NUM         7                       14    25
95    RESTA           -                       14    27
96    INT_NUM         9                       14    29
97    PUNTO_COMA      ;                       14    30
98    IDENTIFIER      z                       15     5
99    ASIGNACION      =                       15     7
100   INT_NUM         8                       15     9
101   DIVISION        /                       15    11
102   INT_NUM         2                       15    13
103   SUMA            +                       15    15
104   INT_NUM         15                      15    17
105   MULTIPLICACION  *                       15    20
106   INT_NUM         4                       15    22
107   PUNTO_COMA      ;                       15    23
108   IDENTIFIER      y                       16     5
109   ASIGNACION      =                       16     7
110   FLOAT_NUM       14.54                   16     9
111   PUNTO_COMA      ;                       16    14
112   KW_IF           if                      18     5
113   INT_NUM         2                       18     8
114   MAYOR           >                       18    10
115   INT_NUM         3                       18    12
116   KW_THEN         then                    18    14
117   IDENTIFIER      y                       19     9
118   ASIGNACION      =                       19    11
119   IDENTIFIER      a                       19    13
120   SUMA            +                       19    15
121   INT_NUM         3                       19    17
122   PUNTO_COMA      ;                       19    18
123   KW_ELSE         else                    20     5
124   KW_IF           if                      21     9
125   INT_NUM         4                       21    12
126   MAYOR           >                       21    14
127   INT_NUM         2                       21    16
128   KW_THEN         then                    21    18
129   IDENTIFIER      b                       22    13
130   ASIGNACION      =                       22    15
131   FLOAT_NUM       3.2                     22    17
132   PUNTO_COMA      ;                       22    20
133   KW_ELSE         else                    23     9
134   IDENTIFIER      b                       24    13
135   ASIGNACION      =                       24    15
136   FLOAT_NUM       5.0                     24    17
137   PUNTO_COMA      ;                       24    20
138   KW_END          end                     25     9
139   IDENTIFIER      y                       26     9
140   ASIGNACION      =                       26    11
141   IDENTIFIER      y                       26    13
142   SUMA            +                       26    15
143   INT_NUM         1                       26    17
144   PUNTO_COMA      ;                       26    18
145   KW_END          end                     27     5
146   IDENTIFIER      a                       29     5
147   ASIGNACION      =                       29     7
148   IDENTIFIER      a                       29     9
149   SUMA            +                       29    11
150   INT_NUM         1                       29    13
151   PUNTO_COMA      ;                       29    14
152   IDENTIFIER      c                       30     5
153   ASIGNACION      =                       30     7
154   IDENTIFIER      c                       30     9
155   RESTA           -                       30    11
156   INT_NUM         1                       30    13
157   PUNTO_COMA      ;                       30    14
158   IDENTIFIER      x                       31     5
159   ASIGNACION      =                       31     7
160   INT_NUM         3                       31     9
161   SUMA            +                       31    11
162   INT_NUM         4                       31    13
163   PUNTO_COMA      ;                       31    14
164   KW_DO           do                      33     5
165   IDENTIFIER      y                       34     9
166   ASIGNACION      =                       34    11
167   PAR_IZQ         (                       34    13
168   IDENTIFIER      y                       34    14
169   SUMA            +                       34    16
170   INT_NUM         1                       34    18
171   PAR_DER         )                       34    19
172   MULTIPLICACION  *                       34    21
173   INT_NUM         2                       34    23
174   SUMA            +                       34    25
175   INT_NUM         1                       34    27
176   PUNTO_COMA      ;                       34    28
177   IDENTIFIER      x                       35     9
178   ASIGNACION      =                       35    11
179   INT_NUM         6                       35    13
180   SUMA            +                       35    15
181   INT_NUM         8                       35    17
182   DIVISION        /                       35    19
183   INT_NUM         9                       35    21
184   MULTIPLICACION  *                       35    23
185   INT_NUM         8                       35    25
186   DIVISION        /                       35    27
187   INT_NUM         3                       35    29
188   PUNTO_COMA      ;                       35    30
189   KW_CIN          cin                     36     9
190   MAYOR           >                       36    13
191   MAYOR           >                       36    14
192   IDENTIFIER      x                       36    16
193   PUNTO_COMA      ;                       36    17
194   IDENTIFIER      mas                     37     9
195   ASIGNACION      =                       37    13
196   INT_NUM         36                      37    15
197   DIVISION        /                       37    18
198   INT_NUM         7                       37    20
199   PUNTO_COMA      ;                       37    21
200   KW_WHILE        while                   38     5
201   IDENTIFIER      y                       38    11
202   IGUAL           ==                      38    13
203   INT_NUM         5                       38    16
204   PUNTO_COMA      ;                       38    17
205   KW_WHILE        while                   40     5
206   IDENTIFIER      y                       40    11
207   IGUAL           ==                      40    13
208   INT_NUM         0                       40    16
209   KW_CIN          cin                     41     9
210   MAYOR           >                       41    13
211   MAYOR           >                       41    14
212   IDENTIFIER      mas                     41    16
213   PUNTO_COMA      ;                       41    19
214   KW_COUT         cout                    42     9
215   MENOR           <                       42    14
216   MENOR           <                       42    15
217   IDENTIFIER      x                       42    17
218   PUNTO_COMA      ;                       42    18
219   KW_END          end                     43     5
220   LLAVE_DER       }                       44     1
